iter	Passed	Remaining
0	74	44522
1	79	23890
2	85	16987
3	88	13153
4	96	11487
5	112	11151
6	117	9941
7	127	9412
8	132	8710
9	138	8166
10	143	7710
11	149	7319
12	154	6994
13	160	6704
14	165	6454
15	170	6237
16	176	6047
17	181	5871
18	187	5718
19	192	5578
20	197	5453
21	203	5335
22	208	5226
23	213	5134
24	219	5042
25	224	4960
26	230	4884
27	235	4811
28	240	4740
29	245	4673
30	251	4609
31	256	4548
32	261	4491
33	266	4442
34	271	4389
35	277	4341
36	282	4296
37	287	4254
38	292	4213
39	298	4173
40	303	4135
41	308	4102
42	313	4065
43	319	4031
44	324	4000
45	329	3973
46	335	3945
47	340	3912
48	345	3890
49	351	3862
50	356	3835
51	361	3812
52	367	3788
53	372	3766
54	377	3743
55	382	3718
56	388	3698
57	394	3684
58	400	3668
59	405	3648
60	410	3628
61	415	3609
62	421	3591
63	426	3573
64	431	3555
65	437	3537
66	442	3520
67	447	3504
68	453	3488
69	458	3473
70	464	3457
71	469	3442
72	474	3428
73	480	3414
74	485	3399
75	490	3384
76	496	3372
77	501	3358
78	507	3349
79	513	3336
80	518	3323
81	523	3309
82	529	3297
83	534	3283
84	539	3270
85	545	3258
86	550	3245
87	555	3231
88	560	3219
89	566	3211
90	572	3201
91	577	3189
92	582	3177
93	588	3165
94	593	3153
95	598	3142
96	603	3131
97	609	3119
98	614	3108
99	619	3095
100	624	3084
101	629	3073
102	634	3062
103	639	3051
104	645	3040
105	650	3032
106	655	3021
107	661	3014
108	667	3007
109	672	2997
110	678	2987
111	683	2977
112	688	2969
113	694	2961
114	699	2950
115	704	2940
116	710	2931
117	715	2921
118	720	2914
119	726	2905
120	731	2896
121	737	2890
122	743	2881
123	748	2874
124	754	2868
125	760	2862
126	766	2855
127	771	2845
128	776	2836
129	781	2826
130	787	2818
131	792	2809
132	797	2800
133	809	2815
134	859	2959
135	873	2981
136	879	2971
137	884	2961
138	889	2951
139	895	2941
140	900	2931
141	905	2921
142	910	2911
143	916	2901
144	921	2892
145	927	2883
146	932	2873
147	937	2863
148	942	2852
149	947	2843
150	952	2833
151	958	2824
152	963	2814
153	968	2805
154	973	2796
155	979	2786
156	984	2778
157	989	2768
158	995	2760
159	1000	2750
160	1005	2742
161	1011	2733
162	1016	2724
163	1021	2715
164	1026	2706
165	1032	2698
166	1037	2690
167	1042	2681
168	1047	2672
169	1066	2697
170	1079	2707
171	1088	2708
172	1095	2704
173	1112	2722
174	1120	2721
175	1129	2720
176	1135	2713
177	1142	2708
178	1148	2701
179	1154	2694
180	1160	2686
181	1166	2679
182	1172	2671
183	1178	2664
184	1184	2656
185	1190	2649
186	1196	2642
187	1203	2636
188	1209	2629
189	1215	2621
190	1220	2614
191	1226	2606
192	1232	2599
193	1238	2592
194	1244	2585
195	1251	2579
196	1257	2571
197	1263	2564
198	1269	2557
199	1275	2551
200	1281	2544
201	1287	2537
202	1293	2530
203	1299	2522
204	1305	2515
205	1311	2508
206	1317	2502
207	1323	2494
208	1329	2487
209	1335	2479
210	1341	2472
211	1347	2465
212	1353	2458
213	1359	2452
214	1365	2445
215	1371	2438
216	1377	2431
217	1383	2424
218	1389	2417
219	1395	2410
220	1401	2403
221	1407	2396
222	1413	2390
223	1419	2383
224	1425	2376
225	1431	2369
226	1437	2362
227	1443	2355
228	1449	2348
229	1455	2341
230	1461	2334
231	1467	2328
232	1473	2321
233	1477	2311
234	1483	2304
235	1489	2297
236	1495	2291
237	1501	2284
238	1507	2277
239	1513	2270
240	1519	2264
241	1526	2257
242	1532	2251
243	1538	2244
244	1544	2237
245	1550	2230
246	1556	2224
247	1562	2217
248	1568	2211
249	1574	2204
250	1580	2198
251	1586	2191
252	1592	2184
253	1598	2177
254	1604	2171
255	1610	2164
256	1616	2157
257	1622	2150
258	1628	2144
259	1634	2137
260	1640	2130
261	1646	2123
262	1652	2117
263	1658	2110
264	1664	2103
265	1670	2097
266	1676	2090
267	1681	2083
268	1688	2077
269	1693	2070
270	1699	2062
271	1705	2056
272	1711	2050
273	1717	2043
274	1723	2037
275	1729	2030
276	1735	2024
277	1741	2017
278	1747	2010
279	1753	2004
280	1759	1997
281	1765	1990
282	1771	1983
283	1809	2012
284	1829	2022
285	1843	2023
286	1849	2017
287	1854	2009
288	1861	2002
289	1883	2013
290	1888	2005
291	1895	1999
292	1900	1991
293	1905	1983
294	1910	1975
295	1915	1967
296	1920	1959
297	1925	1951
298	1931	1944
299	1937	1937
300	1942	1929
301	1947	1921
302	1952	1913
303	1957	1905
304	1962	1898
305	1967	1890
306	1972	1882
307	1977	1874
308	1982	1866
309	1987	1859
310	1992	1851
311	1997	1844
312	2002	1836
313	2008	1829
314	2013	1821
315	2018	1814
316	2023	1806
317	2028	1798
318	2033	1791
319	2038	1784
320	2044	1776
321	2049	1769
322	2054	1761
323	2058	1753
324	2064	1746
325	2068	1738
326	2074	1731
327	2079	1724
328	2084	1716
329	2089	1709
330	2094	1702
331	2100	1695
332	2105	1688
333	2110	1680
334	2115	1673
335	2120	1666
336	2125	1658
337	2130	1651
338	2135	1644
339	2140	1637
340	2145	1629
341	2151	1622
342	2156	1615
343	2161	1608
344	2166	1601
345	2171	1593
346	2176	1586
347	2181	1579
348	2186	1572
349	2192	1565
350	2197	1558
351	2202	1551
352	2207	1544
353	2212	1537
354	2217	1530
355	2232	1530
356	2252	1533
357	2269	1534
358	2277	1528
359	2282	1521
360	2287	1514
361	2292	1507
362	2298	1500
363	2305	1494
364	2312	1488
365	2325	1486
366	2331	1480
367	2338	1474
368	2344	1467
369	2350	1461
370	2356	1454
371	2361	1447
372	2367	1440
373	2373	1434
374	2379	1427
375	2387	1422
376	2392	1415
377	2397	1408
378	2402	1400
379	2407	1393
380	2412	1386
381	2418	1380
382	2423	1372
383	2428	1365
384	2433	1358
385	2438	1351
386	2443	1344
387	2448	1337
388	2453	1330
389	2459	1324
390	2465	1317
391	2470	1310
392	2476	1304
393	2481	1297
394	2486	1290
395	2491	1283
396	2496	1276
397	2501	1269
398	2507	1262
399	2512	1256
400	2517	1249
401	2523	1243
402	2542	1242
403	2562	1243
404	2570	1237
405	2579	1232
406	2584	1225
407	2593	1220
408	2600	1214
409	2606	1207
410	2613	1201
411	2619	1195
412	2627	1189
413	2632	1182
414	2637	1175
415	2642	1168
416	2648	1162
417	2653	1155
418	2659	1148
419	2664	1142
420	2671	1135
421	2677	1129
422	2707	1133
423	2725	1131
424	2731	1124
425	2741	1119
426	2747	1113
427	2756	1107
428	2762	1101
429	2771	1095
430	2777	1089
431	2785	1083
432	2790	1076
433	2797	1070
434	2803	1063
435	2809	1056
436	2814	1049
437	2819	1042
438	2824	1035
439	2830	1029
440	2835	1022
441	2841	1015
442	2847	1009
443	2853	1002
444	2860	996
445	2866	989
446	2871	982
447	2876	976
448	2881	969
449	2887	962
450	2892	955
451	2897	948
452	2902	941
453	2907	935
454	2912	928
455	2917	921
456	2922	914
457	2927	907
458	2932	900
459	2938	894
460	2943	887
461	2948	880
462	2953	873
463	2958	867
464	2963	860
465	2968	853
466	2973	846
467	2978	839
468	2983	833
469	2987	826
470	2993	819
471	2998	813
472	3002	806
473	3007	799
474	3012	792
475	3017	786
476	3022	779
477	3027	772
478	3032	766
479	3046	761
480	3053	755
481	3058	748
482	3064	742
483	3069	735
484	3075	729
485	3081	722
486	3086	716
487	3091	709
488	3097	703
489	3102	696
490	3107	689
491	3113	683
492	3118	676
493	3124	670
494	3129	663
495	3134	657
496	3140	650
497	3146	644
498	3150	637
499	3156	631
500	3161	624
501	3166	618
502	3175	612
503	3183	606
504	3191	600
505	3202	594
506	3208	588
507	3213	581
508	3224	576
509	3231	570
510	3240	564
511	3247	558
512	3252	551
513	3259	545
514	3264	538
515	3271	532
516	3277	526
517	3283	519
518	3288	513
519	3295	506
520	3300	500
521	3306	494
522	3313	487
523	3319	481
524	3326	475
525	3332	468
526	3337	462
527	3342	455
528	3348	449
529	3353	442
530	3359	436
531	3365	430
532	3371	423
533	3378	417
534	3384	411
535	3390	404
536	3396	398
537	3401	392
538	3407	385
539	3412	379
540	3420	372
541	3425	366
542	3431	360
543	3436	353
544	3442	347
545	3448	341
546	3452	334
547	3459	328
548	3464	321
549	3469	315
550	3473	308
551	3477	302
552	3484	296
553	3488	289
554	3492	283
555	3496	276
556	3501	270
557	3505	263
558	3509	257
559	3513	250
560	3517	244
561	3521	238
562	3525	231
563	3529	225
564	3533	218
565	3537	212
566	3541	206
567	3545	199
568	3549	193
569	3553	187
570	3557	180
571	3561	174
572	3565	167
573	3569	161
574	3573	155
575	3577	149
576	3581	142
577	3585	136
578	3589	130
579	3593	123
580	3597	117
581	3601	111
582	3605	105
583	3609	98
584	3614	92
585	3618	86
586	3622	80
587	3626	74
588	3630	67
589	3634	61
590	3638	55
591	3642	49
592	3646	43
593	3650	36
594	3654	30
595	3658	24
596	3662	18
597	3666	12
598	3671	6
599	3675	0
