ip_version,ip_ihl,ip_len,ip_ttl,ip_proto,src_port,dst_port,tcp_flags,payload_len,payload_mean,payload_std,payload_bytes,has_shellcode_pattern,has_suspicious_strings,entropy,printable_ratio
4,7,870,91,6,3866,19517,39,35,128.9142857142857,76.7207818478601,c81cc446588b040c90bb6d9e3816e8e94813edf1654c19f7a040786ce269b8f1635ed7,0,0,5.0721401598021085,0.37142857142857144
4,12,485,19,6,51262,36266,2,89,132.38202247191012,75.6160475236614,b9ff45a44773645fcc92613aca5594fb3b13338f826cae9fa8ff6eafd9c7a4f9cb6b3fe9e40cb824488b7f181e5abb3f7fb679ddbed722c4d5148cbfd8499ad0023255e3b540c6efe84b25000803101b7c33a335ffe674b1f5,0,0,6.3099481781331,0.33707865168539325
4,8,1016,91,17,44311,2309,37,41,145.14634146341464,68.15640584234777,20f6abf6e24fb6c8f0e175930e68588be2b0a3c85d20f7e1a14dba8492baf47e1f9777951d8e6c6b27,0,0,5.064869077788814,0.3170731707317073
6,11,672,42,6,12989,35576,32,12,108.33333333333333,42.93276397137997,636d642e6578652bc37e51b3,0,1,3.4182958340544896,0.8333333333333334
4,10,835,52,1,358,25794,31,210,129.7047619047619,74.49185622597231,6586169acd58d16ed4d3761542486dc9521c294980086066551af56e4393c29ea8ffdfd659fcda3db562e8652242494301a002aea87d63e0c30e6338ec54c0d8e9a4f6a5f875935ae69cca97ca76a080a76b588cd28a8e2d12fc325db19e0fd632470737ad8fa15db8fe786ae327055d149432b12d174780e238eb6ce670e308928f1b002e743d4fbcfd07aa5a2b00497c5a107ae4aee9c963808909f251231836ce54cf42d229fed6dcdef78bed21efb9e8ad7af5db80efc8357844014847a3e98a8bfe3050f3f01f6e56957e7f6879c82c,0,0,7.067038836722146,0.3904761904761905
6,10,1237,83,1,27683,62104,6,178,137.68539325842696,71.59186688877884,f0ae1978679147645652b9ab343a8f2c0540467a042fe13999abd332d752aa109268e0af9accae484ea99a444fe27d3d38286f9cda26ed13a3cb3857fab94b974eed9355d0cad3f758671bc229ad829da6cd7128d52d538115bb0037c910b094a2c88532e7593ad036f16716724e9fc0fffd1c2a7dc2dc10c8d9e7b4fefeaa8d4f8fa70212563355fde0cee0558867a63de75781adf6e56135c2bef8d7c0b9c7d5c07bc4a1def0987539f4aec977bdef6e53,0,0,6.864531253890718,0.3651685393258427
4,8,1180,106,6,1275,34179,26,33,117.39393939393939,70.82327104027893,1e03624ab62bcdf4c1dfef50d4a9536a1b9a70d70342ae23296aa783496d20886d,0,0,4.862575937540274,0.45454545454545453
6,12,1461,62,6,38281,14155,18,123,118.88617886178862,72.73542692045838,ce70fa35306d2d4c8b835d99b3aa1f61135e91803ae4cb19d842a2a95001f6ed5a8a0a243c6d50a2c115c49485c54c02bcda30f31643612188323669262871f12b86317fa7382a32d04fb1d32b8aab5548d43ac72863a2c5527e2777f8cf75bfe2a85f4603febe1627a8356b9a5c9e38f90f78ecd3ee10f1220b88,0,0,6.594913793939536,0.43902439024390244
4,14,880,45,17,4881,8685,11,66,128.1060606060606,76.87773228214274,cb4c3c5460b7191d00552731e1999bfc6fa358d7c460b7bb3ec41f1fddd74251ad37eff6acf56121d321e9f0e4f2627d5dd913d40f55ef723069314b5a8fc01330a6,0,0,5.711060786025121,0.42424242424242425
4,13,87,47,1,62848,44679,23,24,106.25,80.22117862509874,52f691198441a00c2afbd8264c0cecce20444519696ec302,0,0,4.418295834054489,0.4166666666666667
6,7,135,122,1,42244,5793,4,237,129.65822784810126,74.13180519862684,d7d0652906795710e61a92d45a62cc2c0923a4abcc9afe6ddbb3b858322dd0c03067db41cc78fc744b7a39579a3a9d2530717f58e593a3ad35828fba24e2dc1201f5a8d84547687607ab32b25c7ca987cc63a890e33672d2a074e9963fa60517c9ed8968de104fb1c3fafbac711717e2f0ddfb4125190b2b8ad70f98fba0330772d0f073087411a6faaf3bcd3cb7838b5fd0da25387e61b81698fb74fbb835dfaa8ab16069e918137d0d8b9bef63470bddca267a97fefc26468254edfd4a32d513636d642e65786579b7d3ab39f17a3a8a39557c8062f80f9b286a1f72b6b9fb877f222ef1a8ffe26f8d25ed2f,0,1,7.081471888001836,0.39662447257383965
4,9,409,50,6,11750,7903,28,105,122.78095238095239,71.45747732574694,2aee277fc204c54107c8e896b7c2b94f2da037840a2c52798381fe11378ea46034aa8a4f5ea082f38a48e2142e5f49b233211c4af01222f9f166bf7d1359d84c776ed6eba36d14a44248be66a7352961deb8de78f8dc96286f0363daf710a7a0cf444c8442a58b7861,0,0,6.36419897002647,0.41904761904761906
4,15,1447,64,17,45687,51030,31,168,125.51190476190476,71.2640953555721,2f48da0e9afd0b32b4a7dfa91e7e8b802950d91fb222d87ac41a20e9272d70779277b21c25b58c16bf75a3c96823d9ad05d4177f76bf1428ed2166611866439b8732eab416479d5bfc7eb186756753808b57b967b2a167e56fb5c142d9d670e8fc705ff7e40763777308a281ae38a8c090636d642e657865bf539dc623227d0b0cfd35f900af3a0af766695cbaffd4cd0e95d64e7b912bd4e21b7a204dcb7c9ba8b21ac4e083e353,0,1,6.820656113151928,0.40476190476190477
4,8,222,59,6,40703,59119,53,35,151.31428571428572,65.29614796276661,5358e0be8d105a65d5bab1d9f6a28c2c42e1bbd07e464db9b6ff86afd1f8b5d95b533b,0,0,5.014997302659251,0.34285714285714286
4,6,1165,54,17,62320,49317,22,221,121.57466063348416,74.32714826210025,1a623bb4a0f5f099e8ac9605a4c42c3651335be41eecbaae4b9320eb0c37394e8a57cc8a28bfe2f6e4732484426d2d7e324c91f50e525238e50f0af2168b9a854ddcbcb40dee726cbd68ef5467ca986b82332b79ee36c16ae7646d7e64c53fc2562431e3df2698516db61beb3b2e227e807f32b9c8df50052c5fea4c551da0d8947c1cd303f9241db0192f6fd46252bbe44f1839c589ad4e4cc807302c9ea19ecfa3f25d54c6660500d0d54afa1f599ffae5e38050d1100d1114c41f517b7b517314ac4fef67d4524804635fcc23f52841d21687594ebc1ed95dfb9ec3,0,0,7.111210817212089,0.42081447963800905
4,5,669,35,17,37640,2283,23,91,122.02197802197803,72.81422666538894,d40013114095f09f62a7d28a6fbfc6273cefaa9ecb1e0a90a0964d0e22b5807a5c1476e93a858ab5b0b58928291396247059d3ff3ea3a2b14ef9f7600b40142d0ce435bf385807b98835d173682e87b24c85e92aad1eedadde6ec1,0,0,6.213784887427671,0.34065934065934067
6,15,661,96,1,48407,62447,27,1,96.57142857142857,21.770603658912844,636d642e657865,0,1,2.521640636343318,1.0
6,11,520,102,17,39780,2329,40,216,124.76851851851852,71.51309210382149,1a8bd9e817441e1bbcd9a69a54af9793a79be3fd52e7bbb2eaaa3ea87767444622ac5ccf1b0c2234493100411fba1ed5dc360e525a1a6824d3dcb844c349a97a577b1767e4e705aa2143340e745887afd1005b406395c5bb22c74bbca6528858d4fd4b6c95357eaa329593dbf034949817baba39f91521a943283b16cf419187bf8247b3cbabf39d39764a4f472eb55337d5ee204adab17aecd1b5e9bede237c272cf8408ce75e1ea16ad60b734e0e6016be7c93a40041b9317644d578df23ecf18c8f84514e82c142d9f122de986b714dc97a2c84ca86f7,0,0,6.998761055253968,0.4074074074074074
